Estado;inicio;varinicio;varfim;PT_V;ID;inteiro;real;literal;leia;escreva;LIT;RCB;NUM;OPM;se;AB_P;FC_P;entao;OPR;fimse;repita;fimrepita;fim;EOF;P;V;LV;D;L;TIPO;A;ES;ARG;CMD;LD;OPRD;COND;CAB;EXP_R;CP;R;CABR;CPR
22;Er;Er;Er;Er;S33;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er
23;Er;Er;Er;Er;S37;Er;Er;Er;Er;Er;S35;Er;S36;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;34;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er
24;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;S38;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er
25;Er;Er;Er;Er;S24;Er;Er;Er;S22;S23;Er;Er;Er;Er;S27;Er;Er;Er;Er;S43;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;40;Er;41;Er;Er;42;25;Er;39;Er;Er;Er
26;Er;Er;Er;Er;S24;Er;Er;Er;S22;S23;Er;Er;Er;Er;S27;Er;Er;Er;Er;Er;Er;S48;Er;Er;Er;Er;Er;Er;Er;Er;Er;45;Er;46;Er;Er;47;25;Er;Er;Er;Er;44
27;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;S49;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er
28;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;S50;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er
29;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;R11;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er
30;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;R17;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er
31;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;R23;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er
32;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;R31;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er
33;Er;Er;Er;S51;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er
